"Description","Latitude","Longitude","Title","Group","TabTitle","Location","Icon","Shadow","DateOpened","TimeOpened","DateClosed","TimeClosed","Status","Crime","CaseNumber","CrimeClassification","IncidentNumber"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 500 Block of F ST<br><b>City:</b> Davis<br><b>Occurred:</b> 12/25/2016 at 1008<br><b>Case #:</b> 17-367<br><b>Incident #:</b> 1701250146<br><br>","38.54823","-121.7408","Petty Theft $950-  Misd","LARCENY","Theft","500 Block of F ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/25/2017 12:00:00 AM","","","","","488 PC","17-367","Misdemeanor","1701250146"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 2600 Block of GRAMBLING CT<br><b>City:</b> Davis<br><b>Occurred:</b> 12/12/2016 at 0000<br><b>Case #:</b> 16-5171<br><b>Incident #:</b> 1612130109<br><br>","38.55259","-121.71922","Petty Theft $950-  Misd","LARCENY","Theft","2600 Block of GRAMBLING CT","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/13/2016 12:00:00 AM","","","","","488 PC","16-5171","Misdemeanor","1612130109"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1000 Block of OLIVE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 12/10/2016 at 1801<br><b>Case #:</b> 16-5114<br><b>Incident #:</b> 1612100075<br><br>","38.54097","-121.73722","Burglary (Vehicle)","LARCENY","Theft","1000 Block of OLIVE DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/10/2016 12:00:00 AM","","","","","459 PC","16-5114","Felony","1612100075"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 500 Block of S CAMPUS WY<br><b>City:</b> Davis<br><b>Occurred:</b> 12/21/2016 at 0000<br><b>Case #:</b> 16-5303<br><b>Incident #:</b> 1612210078<br><br>","38.54745","-121.75693","Petty Theft $950-  Misd","LARCENY","Theft","500 Block of S CAMPUS WY","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/21/2016 12:00:00 AM","","","","","488 PC","16-5303","Misdemeanor","1612210078"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 2000 Block of SUTTER PL<br><b>City:</b> Davis<br><b>Occurred:</b> 12/10/2016 at 0800<br><b>Case #:</b> 16-5115<br><b>Incident #:</b> 1612100044<br><br>","38.56285","-121.7713","Petty Theft $950-  Misd","LARCENY","Theft","2000 Block of SUTTER PL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/10/2016 12:00:00 AM","","","","","488 PC","16-5115","Misdemeanor","1612100044"
"<hr><b><big>Grand Theft: Firearm/etc.</big></b><hr><b>Crime:</b> 487(D)(2) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 600 Block of B ST<br><b>City:</b> Davis<br><b>Occurred:</b> 1/21/2017 at 2000<br><b>Case #:</b> 17-347<br><b>Incident #:</b> 1701240052<br><br>","38.54885","-121.74628","Grand Theft: Firearm/Etc.","LARCENY","Theft","600 Block of B ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/24/2017 12:00:00 AM","","","","","487(D)(2) PC","17-347","Felony","1701240052"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 3300 Block of CANOE PL<br><b>City:</b> Davis<br><b>Occurred:</b> 1/19/2017 at 0732<br><b>Case #:</b> 18-254<br><b>Incident #:</b> 1801190028<br><br>","38.55352","-121.7925","Vehicle Theft","STOLVEH","Stolen Vehicle","3300 Block of CANOE PL","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","1/19/2018 12:00:00 AM","","","","","10851(A) VC","18-254","Felony","1801190028"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1800 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 1/24/2017 at 1700<br><b>Case #:</b> 17-366<br><b>Incident #:</b> 1701250145<br><br>","38.53951","-121.72896","Petty Theft $950-  Misd","LARCENY","Theft","1800 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/25/2017 12:00:00 AM","","","","","488 PC","17-366","Misdemeanor","1701250145"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 600 Block of DEL ORO PL<br><b>City:</b> Davis<br><b>Occurred:</b> 1/1/2017 at 0800<br><b>Case #:</b> 18-1237<br><b>Incident #:</b> <br><br>","38.564678","-121.7539851","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","600 Block of DEL ORO PL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","4/2/2018 12:00:00 AM","","","","","487(A) PC","18-1237","Felony",""
"<hr><b><big>Shoplifting $950 - misdemeanor</big></b><hr><b>Crime:</b> 459.5 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 200 Block of E ST<br><b>City:</b> Davis<br><b>Occurred:</b> 1/9/2017 at 1556<br><b>Case #:</b> 17-132<br><b>Incident #:</b> 1701090117<br><br>","38.54354","-121.74139","Shoplifting $950 - Misdemeanor","LARCENY","Theft","200 Block of E ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/9/2017 12:00:00 AM","","","","","459.5 PC","17-132","Misdemeanor","1701090117"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2800 Block of EMERALD BAY DR<br><b>City:</b> Davis<br><b>Occurred:</b> 1/12/2017 at 0815<br><b>Case #:</b> 18-130<br><b>Incident #:</b> 1801120038<br><br>","38.539489","-121.7168548","Vehicle Theft","STOLVEH","Stolen Vehicle","2800 Block of EMERALD BAY DR","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","1/12/2018 12:00:00 AM","","","","","10851(A) VC","18-130","Felony","1801120038"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 600 Block of G ST<br><b>City:</b> Davis<br><b>Occurred:</b> 12/28/2016 at 2348<br><b>Case #:</b> 16-5389<br><b>Incident #:</b> 1612280154<br><br>","38.5489","-121.74073","Burglary (Residential)","BURGLARY","Burglary","600 Block of G ST","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","12/28/2016 12:00:00 AM","","","","","459 PC","16-5389","Felony","1612280154"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1400 Block of H ST<br><b>City:</b> Davis<br><b>Occurred:</b> 1/16/2017 at 1040<br><b>Case #:</b> 18-172<br><b>Incident #:</b> 1801160061<br><br>","38.55583","-121.75122","Petty Theft $950-  Misd","LARCENY","Theft","1400 Block of H ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/16/2018 12:00:00 AM","","","","","488 PC","18-172","Misdemeanor","1801160061"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1600 Block of LA PALOMA CT<br><b>City:</b> Davis<br><b>Occurred:</b> 1/4/2017 at 2100<br><b>Case #:</b> 18-54<br><b>Incident #:</b> 1801050046<br><br>","38.53842","-121.72111","Burglary (Vehicle)","LARCENY","Theft","1600 Block of LA PALOMA CT","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/5/2018 12:00:00 AM","","","","","459 PC","18-54","Felony","1801050046"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 2700 Block of MONTGOMERY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 1/24/2017 at 0000<br><b>Case #:</b> 17-566<br><b>Incident #:</b> 1702080048<br><br>","38.53885","-121.71748","Petty Theft $950-  Misd","LARCENY","Theft","2700 Block of MONTGOMERY AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","2/8/2017 12:00:00 AM","","","","","488 PC","17-566","Misdemeanor","1702080048"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1100 Block of OLIVE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 1/20/2017 at 2200<br><b>Case #:</b> 17-458<br><b>Incident #:</b> 1702010058<br><br>","38.54191","-121.73601","Petty Theft $950-  Misd","LARCENY","Theft","1100 Block of OLIVE DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","2/1/2017 12:00:00 AM","","","","","488 PC","17-458","Misdemeanor","1702010058"
